param baseMVA :=          100;
param demScaleDemand := 1;
param demScaleFlow := 1;
param RefBus := "b13";
param: 	Bus: 	DemandP 	DemandQ 	MinVoltage 	MaxVoltage 	GS 	BS:=
   	b1 	        1.08 	        0.22 	        0.95 	        1.05 	           0 	           0
   	b2 	        0.97 	         0.2 	        0.95 	        1.05 	           0 	           0
   	b3 	         1.8 	        0.37 	        0.95 	        1.05 	           0 	           0
   	b4 	        0.74 	        0.15 	        0.95 	        1.05 	           0 	           0
   	b5 	        0.71 	        0.14 	        0.95 	        1.05 	           0 	           0
   	b6 	        1.36 	        0.28 	        0.95 	        1.05 	           0 	          -1
   	b7 	        1.25 	        0.25 	        0.95 	        1.05 	           0 	           0
   	b8 	        1.71 	        0.35 	        0.95 	        1.05 	           0 	           0
   	b9 	        1.75 	        0.36 	        0.95 	        1.05 	           0 	           0
   	b10 	        1.95 	         0.4 	        0.95 	        1.05 	           0 	           0
   	b11 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b12 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b13 	        2.65 	        0.54 	        0.95 	        1.05 	           0 	           0
   	b14 	        1.94 	        0.39 	        0.95 	        1.05 	           0 	           0
   	b15 	        3.17 	        0.64 	        0.95 	        1.05 	           0 	           0
   	b16 	           1 	         0.2 	        0.95 	        1.05 	           0 	           0
   	b17 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b18 	        3.33 	        0.68 	        0.95 	        1.05 	           0 	           0
   	b19 	        1.81 	        0.37 	        0.95 	        1.05 	           0 	           0
   	b20 	        1.28 	        0.26 	        0.95 	        1.05 	           0 	           0
   	b21 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b22 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b23 	           0 	           0 	        0.95 	        1.05 	           0 	           0
   	b24 	           0 	           0 	        0.95 	        1.05 	           0 	           0	;

param: 	Generator: 	Location 	MaxGenP 	MinGenP	MaxGenQ 	MinGenQ 	GenQuad 	GenLin 	GenConst :=
   	g1 	b1 	       0.2 	      0.16 	       0.1 	         0 	         0 	       130 	       401
   	g2 	b1 	       0.2 	      0.16 	       0.1 	         0 	         0 	       130 	       401
   	g3 	b1 	      0.76 	     0.152 	       0.3 	     -0.25 	    0.0141 	      16.1 	       212
   	g4 	b1 	      0.76 	     0.152 	       0.3 	     -0.25 	    0.0141 	      16.1 	       212
   	g5 	b2 	       0.2 	      0.16 	       0.1 	         0 	         0 	       130 	       401
   	g6 	b2 	       0.2 	      0.16 	       0.1 	         0 	         0 	       130 	       401
   	g7 	b2 	      0.76 	     0.152 	       0.3 	     -0.25 	    0.0141 	      16.1 	       212
   	g8 	b2 	      0.76 	     0.152 	       0.3 	     -0.25 	    0.0141 	      16.1 	       212
   	g9 	b7 	         1 	      0.25 	       0.6 	         0 	    0.0527 	      43.7 	       782
   	g10 	b7 	         1 	      0.25 	       0.6 	         0 	    0.0527 	      43.7 	       782
   	g11 	b7 	         1 	      0.25 	       0.6 	         0 	    0.0527 	      43.7 	       782
   	g12 	b13 	      1.97 	      0.69 	       0.8 	         0 	   0.00717 	      48.6 	       833
   	g13 	b13 	      1.97 	      0.69 	       0.8 	         0 	   0.00717 	      48.6 	       833
   	g14 	b13 	      1.97 	      0.69 	       0.8 	         0 	   0.00717 	      48.6 	       833
   	g15 	b14 	         0 	         0 	         2 	      -0.5 	         0 	         0 	         0
   	g16 	b15 	      0.12 	     0.024 	      0.06 	         0 	     0.328 	      56.6 	      86.4
   	g17 	b15 	      0.12 	     0.024 	      0.06 	         0 	     0.328 	      56.6 	      86.4
   	g18 	b15 	      0.12 	     0.024 	      0.06 	         0 	     0.328 	      56.6 	      86.4
   	g19 	b15 	      0.12 	     0.024 	      0.06 	         0 	     0.328 	      56.6 	      86.4
   	g20 	b15 	      0.12 	     0.024 	      0.06 	         0 	     0.328 	      56.6 	      86.4
   	g21 	b15 	      1.55 	     0.543 	       0.8 	      -0.5 	   0.00834 	      12.4 	       382
